model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
ACURA MDX,3.7,6,Auto-S5,4WD,Gasoline,SUV,7.0,15.0,20.0,17.0,4,no,ACURA RDX,3.5,6.0,SemiAuto-6,2WD,Gasoline,small SUV,3.0,20.0,28.0,23.0,5.0,No
ACURA RDX,2.3,4,Auto-S5,4WD,Gasoline,SUV,7.0,17.0,22.0,19.0,5,no,ACURA RDX,3.5,6.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,19.0,27.0,22.0,4.0,No
ACURA RL,3.5,6,Auto-S5,4WD,Gasoline,midsize car,7.0,16.0,24.0,19.0,5,no,ACURA TLX,2.4,4.0,AMS-8,2WD,Gasoline,small car,3.0,23.0,33.0,27.0,6.0,No
ACURA TL,3.2,6,Auto-S5,2WD,Gasoline,midsize car,7.0,18.0,26.0,21.0,6,yes,ACURA TLX,3.5,6.0,SemiAuto-9,2WD,Gasoline,small car,3.0,20.0,32.0,24.0,5.0,No
ACURA TL,3.5,6,Auto-S5,2WD,Gasoline,midsize car,7.0,17.0,26.0,20.0,6,yes,ACURA TLX,3.5,6.0,SemiAuto-9,4WD,Gasoline,small car,3.0,21.0,30.0,24.0,5.0,No
ACURA TL,3.5,6,Man-6,2WD,Gasoline,midsize car,7.0,18.0,27.0,21.0,6,yes,ACURA TLX AWD A-SPEC,3.5,6.0,SemiAuto-9,4WD,Gasoline,small car,3.0,20.0,29.0,23.0,5.0,No
ACURA TSX,2.4,4,Man-6,2WD,Gasoline,small car,6.0,19.0,28.0,22.0,6,no,ACURA TLX FWD A-SPEC,3.5,6.0,SemiAuto-9,2WD,Gasoline,small car,3.0,20.0,30.0,23.0,5.0,No
ACURA TSX,2.4,4,Auto-S5,2WD,Gasoline,small car,6.0,20.0,28.0,23.0,7,yes,ALFA ROMEO 4C,1.8,4.0,AutoMan-6,2WD,Gasoline,small car,1.0,24.0,34.0,28.0,6.0,No
ASTON MARTIN DB9,5.9,12,Man-6,2WD,Gasoline,small car,6.0,10.0,16.0,12.0,0,no,ALFA ROMEO Giulia,2.9,6.0,Auto-8,2WD,Gasoline,midsize car,3.0,17.0,24.0,20.0,4.0,No
ASTON MARTIN DB9,5.9,12,Auto-S6,2WD,Gasoline,small car,6.0,11.0,18.0,13.0,1,no,AUDI A3,2.0,4.0,AMS-6,4WD,Gasoline,small car,7.0,24.0,31.0,27.0,6.0,No
ASTON MARTIN DB9 Volante,5.9,12,Man-6,2WD,Gasoline,small car,6.0,10.0,16.0,12.0,0,no,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,small car,7.0,26.0,35.0,29.0,6.0,No
ASTON MARTIN DB9 Volante,5.9,12,Auto-S6,2WD,Gasoline,small car,6.0,11.0,17.0,13.0,1,no,AUDI A3 Cabriolet,2.0,4.0,AMS-6,4WD,Gasoline,small car,7.0,22.0,30.0,25.0,5.0,No
ASTON MARTIN V8 Vantage,4.3,8,Man-6,2WD,Gasoline,small car,6.0,12.0,19.0,15.0,3,no,AUDI A3 Cabriolet,2.0,4.0,AMS-7,2WD,Gasoline,small car,7.0,25.0,33.0,28.0,6.0,No
ASTON MARTIN V8 Vantage,4.3,8,Auto-S6,2WD,Gasoline,small car,6.0,13.0,20.0,15.0,3,no,AUDI A4,2.0,4.0,AMS-7,4WD,Gasoline,small car,5.0,24.0,34.0,27.0,6.0,No
AUDI A3,2.0,4,Man-6,2WD,Gasoline,station wagon,7.0,21.0,29.0,24.0,7,yes,AUDI A4,2.0,4.0,Man-6,4WD,Gasoline,small car,3.0,24.0,33.0,27.0,6.0,No
AUDI A3,2.0,4,Auto-S6,2WD,Gasoline,station wagon,7.0,22.0,29.0,25.0,7,yes,AUDI A4 Ultra,2.0,4.0,AMS-7,2WD,Gasoline,small car,3.0,27.0,37.0,31.0,7.0,Yes
AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,station wagon,6.0,18.0,25.0,21.0,6,no,AUDI A5,2.0,4.0,AMS-7,4WD,Gasoline,small car,5.0,24.0,34.0,27.0,6.0,No
AUDI A4,2.0,4,Auto-AV,2WD,Gasoline,small car,7.0,21.0,30.0,24.0,7,yes,AUDI A5,2.0,4.0,Man-6,4WD,Gasoline,small car,3.0,24.0,33.0,27.0,6.0,No
AUDI A4,3.1,6,Man-6,4WD,Gasoline,small car,6.0,15.0,25.0,19.0,5,no,AUDI A5 Cabriolet,2.0,4.0,AMS-7,4WD,Gasoline,small car,5.0,24.0,34.0,27.0,6.0,No
AUDI A4,3.1,6,Auto-S6,4WD,Gasoline,small car,6.0,17.0,25.0,20.0,6,no,AUDI A5 Sportback quattro,2.0,4.0,AMS-7,4WD,Gasoline,midsize car,5.0,24.0,34.0,27.0,6.0,No
AUDI A4,3.1,6,Auto-AV,2WD,Gasoline,small car,6.0,18.0,27.0,21.0,6,no,AUDI A6,2.0,4.0,AMS-7,2WD,Gasoline,midsize car,5.0,25.0,34.0,28.0,6.0,No
AUDI A4 Avant,3.1,6,Man-6,4WD,Gasoline,station wagon,6.0,15.0,25.0,19.0,5,no,AUDI A6,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,5.0,22.0,31.0,26.0,5.0,No
AUDI A4 Avant,3.1,6,Auto-S6,4WD,Gasoline,station wagon,6.0,17.0,25.0,20.0,6,no,AUDI A6,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,3.0,20.0,29.0,23.0,5.0,No
AUDI A4 Cabriolet,3.1,6,Auto-S6,4WD,Gasoline,small car,6.0,17.0,25.0,20.0,6,no,AUDI A7,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,3.0,20.0,29.0,23.0,5.0,No
AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,midsize car,6.0,17.0,25.0,20.0,6,no,AUDI A8 L,3.0,6.0,SemiAuto-8,4WD,Gasoline,large car,3.0,19.0,29.0,22.0,4.0,No
AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,midsize car,6.0,18.0,27.0,21.0,6,no,AUDI Q3,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,3.0,20.0,28.0,23.0,5.0,No
AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,midsize car,6.0,16.0,23.0,18.0,5,no,AUDI Q3,2.0,4.0,SemiAuto-6,4WD,Gasoline,small car,3.0,20.0,28.0,23.0,5.0,No
AUDI A6 Avant,3.1,6,Auto-S6,4WD,Gasoline,station wagon,6.0,17.0,25.0,20.0,6,no,AUDI Q5,2.0,4.0,SemiAuto-7,4WD,Gasoline,small SUV,3.0,23.0,27.0,25.0,5.0,No
AUDI A8,4.2,8,Auto-S6,4WD,Gasoline,midsize car,6.0,16.0,23.0,18.0,5,no,AUDI Q7,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,19.0,25.0,21.0,4.0,No
AUDI A8 L,4.2,8,Auto-S6,4WD,Gasoline,large car,6.0,16.0,23.0,18.0,5,no,AUDI Q7,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,19.0,25.0,21.0,4.0,No
AUDI A8 L,6.0,12,Auto-S6,4WD,Gasoline,large car,6.0,13.0,19.0,15.0,3,no,AUDI RS3,2.5,5.0,AMS-7,4WD,Gasoline,small car,3.0,19.0,28.0,22.0,4.0,No
AUDI Q7,3.6,6,Auto-S6,4WD,Gasoline,SUV,6.0,14.0,20.0,16.0,4,no,AUDI S3,2.0,4.0,AMS-7,4WD,Gasoline,small car,3.0,22.0,28.0,25.0,5.0,No
AUDI Q7,4.2,8,Auto-S6,4WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2,no,AUDI S4,3.0,6.0,AMS-8,4WD,Gasoline,small car,5.0,21.0,30.0,24.0,5.0,No
AUDI R8,4.2,8,Auto-S6,4WD,Gasoline,small car,6.0,13.0,19.0,15.0,3,no,AUDI S5,3.0,6.0,AMS-8,4WD,Gasoline,small car,5.0,21.0,30.0,24.0,5.0,No
AUDI R8,4.2,8,Man-6,4WD,Gasoline,small car,6.0,13.0,20.0,15.0,3,no,AUDI S5 Cabriolet,3.0,6.0,AMS-8,4WD,Gasoline,small car,5.0,20.0,29.0,23.0,5.0,No
AUDI RS4,4.2,8,Man-6,4WD,Gasoline,small car,6.0,13.0,20.0,15.0,3,no,AUDI S5 Sportback,3.0,6.0,AMS-8,4WD,Gasoline,midsize car,5.0,21.0,30.0,24.0,5.0,No
AUDI RS4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,small car,6.0,12.0,19.0,14.0,2,no,AUDI SQ5,3.0,6.0,AMS-8,4WD,Gasoline,small SUV,5.0,19.0,24.0,21.0,4.0,No
AUDI S4,4.2,8,Man-6,4WD,Gasoline,small car,6.0,13.0,20.0,15.0,3,no,AUDI TT Coupe,2.0,4.0,AMS-6,4WD,Gasoline,small car,7.0,23.0,30.0,26.0,5.0,No
AUDI S4,4.2,8,Auto-S6,4WD,Gasoline,small car,6.0,14.0,21.0,16.0,4,no,AUDI TT RS,2.5,5.0,AMS-7,4WD,Gasoline,small car,3.0,19.0,29.0,22.0,4.0,No
AUDI S4 Avant,4.2,8,Man-6,4WD,Gasoline,station wagon,6.0,13.0,20.0,15.0,3,no,AUDI TT Roadster,2.0,4.0,AMS-6,4WD,Gasoline,small car,7.0,23.0,30.0,26.0,5.0,No
AUDI S4 Avant,4.2,8,Auto-S6,4WD,Gasoline,station wagon,6.0,14.0,21.0,16.0,4,no,AUDI TTS Coupe,2.0,4.0,AMS-6,4WD,Gasoline,small car,3.0,23.0,27.0,25.0,5.0,No
AUDI S4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,small car,6.0,13.0,19.0,15.0,3,no,AUDI allroad quattro,2.0,4.0,AMS-7,4WD,Gasoline,station wagon,5.0,22.0,30.0,25.0,5.0,No
